activity_description,label,duration_minutes,user_id
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,96,3
Watching cat videos on YouTube,Wasting Time,46,71
Playing online crossword puzzles,Utilizing Time for Knowledge Development,15,75
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,30,62
Online shopping,Utilizing Time for Knowledge Development,80,3
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,88,99
Playing online crossword puzzles,Utilizing Time for Knowledge Development,86,85
Checking email,Utilizing Time for Knowledge Development,111,71
Online shopping,Utilizing Time for Knowledge Development,69,6
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,30,14
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,36,69
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,96,38
Scrolling through social media feeds,Utilizing Time for Knowledge Development,67,88
Reading a scientific research paper,Utilizing Time for Knowledge Development,38,72
Online shopping,Utilizing Time for Knowledge Development,117,33
Checking email,Utilizing Time for Knowledge Development,60,98
Participating in an online quiz,Wasting Time,69,3
Watching Khan Academy math tutorial,Wasting Time,72,69
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,17,62
Taking notes from a lecture video,Utilizing Time for Knowledge Development,101,59
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,118,13
Watching TV shows,Utilizing Time for Knowledge Development,8,11
Participating in a group discussion on the course forum,Wasting Time,43,53
Checking email,Wasting Time,81,24
Taking notes from a lecture video,Wasting Time,67,21
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,48,37
Coding a personal project,Wasting Time,119,1
Coding a personal project,Utilizing Time for Knowledge Development,72,29
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,46,62
Taking notes from a lecture video,Utilizing Time for Knowledge Development,26,7
Taking notes from a lecture video,Utilizing Time for Knowledge Development,110,44
Coding a personal project,Utilizing Time for Knowledge Development,78,89
Scrolling through social media feeds,Utilizing Time for Knowledge Development,103,100
Reviewing course lecture slides,Utilizing Time for Knowledge Development,83,68
Participating in a group discussion on the course forum,Wasting Time,74,64
Writing an essay for a class assignment,Wasting Time,97,8
Online shopping,Utilizing Time for Knowledge Development,34,77
Chatting with friends on messaging apps,Wasting Time,68,53
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,103,35
Playing a video game,Wasting Time,55,68
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,17,62
Solving programming exercises,Utilizing Time for Knowledge Development,67,74
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,93,70
Watching TV shows,Utilizing Time for Knowledge Development,84,22
Online shopping,Utilizing Time for Knowledge Development,109,30
Playing online crossword puzzles,Utilizing Time for Knowledge Development,8,52
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,93,62
Chatting with friends on messaging apps,Wasting Time,71,2
Online shopping,Utilizing Time for Knowledge Development,81,47
Playing online crossword puzzles,Wasting Time,52,62
Coding a personal project,Utilizing Time for Knowledge Development,66,20
Playing online crossword puzzles,Utilizing Time for Knowledge Development,53,33
Playing a video game,Wasting Time,21,80
Watching TV shows,Wasting Time,66,63
Checking email,Utilizing Time for Knowledge Development,37,34
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,43,64
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,62,92
Reading a scientific research paper,Utilizing Time for Knowledge Development,51,35
Checking email,Utilizing Time for Knowledge Development,59,23
Participating in an online quiz,Utilizing Time for Knowledge Development,73,91
Playing a video game,Wasting Time,99,36
Online shopping,Utilizing Time for Knowledge Development,46,79
Checking email,Utilizing Time for Knowledge Development,49,49
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,70,46
Scrolling through social media feeds,Utilizing Time for Knowledge Development,67,2
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,32,29
Checking email,Wasting Time,26,19
Online shopping,Utilizing Time for Knowledge Development,33,19
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,81,85
Solving programming exercises,Wasting Time,84,53
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,41,19
Coding a personal project,Utilizing Time for Knowledge Development,54,89
Reviewing course lecture slides,Wasting Time,120,93
Reviewing course lecture slides,Utilizing Time for Knowledge Development,36,83
Playing online crossword puzzles,Utilizing Time for Knowledge Development,50,15
Online shopping,Utilizing Time for Knowledge Development,42,90
Solving programming exercises,Utilizing Time for Knowledge Development,10,24
Coding a personal project,Utilizing Time for Knowledge Development,35,96
Reading a scientific research paper,Utilizing Time for Knowledge Development,56,93
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,73,74
Watching cat videos on YouTube,Wasting Time,38,70
Checking email,Wasting Time,26,68
Watching Khan Academy math tutorial,Wasting Time,36,54
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,29,28
Browsing Wikipedia for history facts,Wasting Time,101,24
Watching TV shows,Utilizing Time for Knowledge Development,17,79
Writing an essay for a class assignment,Wasting Time,35,86
Taking notes from a lecture video,Utilizing Time for Knowledge Development,110,91
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,39,81
Coding a personal project,Wasting Time,83,52
Reading a scientific research paper,Wasting Time,75,39
Solving programming exercises,Utilizing Time for Knowledge Development,61,93
Participating in an online quiz,Utilizing Time for Knowledge Development,120,23
Online shopping,Wasting Time,29,47
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,62,78
Solving programming exercises,Utilizing Time for Knowledge Development,108,80
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,21,52
Listening to an audiobook on a relevant topic,Wasting Time,70,85
Scrolling through social media feeds,Wasting Time,12,90
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,98,38
Playing a video game,Wasting Time,87,9
Participating in an online quiz,Wasting Time,90,71
Chatting with friends on messaging apps,Wasting Time,19,70
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,56,18
Solving programming exercises,Utilizing Time for Knowledge Development,27,93
Checking email,Wasting Time,57,90
Coding a personal project,Wasting Time,81,83
Checking email,Wasting Time,90,15
Reviewing course lecture slides,Utilizing Time for Knowledge Development,106,19
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,33,12
Coding a personal project,Utilizing Time for Knowledge Development,88,87
Solving programming exercises,Wasting Time,25,94
Playing online crossword puzzles,Utilizing Time for Knowledge Development,73,58
Scrolling through social media feeds,Utilizing Time for Knowledge Development,9,20
Coding a personal project,Utilizing Time for Knowledge Development,10,59
Listening to an audiobook on a relevant topic,Wasting Time,18,72
Chatting with friends on messaging apps,Wasting Time,64,61
Playing online crossword puzzles,Utilizing Time for Knowledge Development,10,10
Scrolling through social media feeds,Wasting Time,89,40
Reading a scientific research paper,Utilizing Time for Knowledge Development,109,44
Scrolling through social media feeds,Utilizing Time for Knowledge Development,25,75
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,101,20
Watching Khan Academy math tutorial,Wasting Time,45,70
Reading a scientific research paper,Utilizing Time for Knowledge Development,27,23
Playing online crossword puzzles,Utilizing Time for Knowledge Development,62,55
Solving programming exercises,Utilizing Time for Knowledge Development,50,15
Watching Khan Academy math tutorial,Wasting Time,82,81
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,28,75
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,53,47
Reviewing course lecture slides,Utilizing Time for Knowledge Development,105,18
Reviewing course lecture slides,Utilizing Time for Knowledge Development,86,4
Coding a personal project,Utilizing Time for Knowledge Development,5,27
Online shopping,Wasting Time,33,59
Reading a scientific research paper,Utilizing Time for Knowledge Development,6,32
Reviewing course lecture slides,Utilizing Time for Knowledge Development,106,76
Solving programming exercises,Utilizing Time for Knowledge Development,12,59
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,75,88
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,23,18
Participating in a group discussion on the course forum,Wasting Time,88,38
Participating in a group discussion on the course forum,Wasting Time,15,6
Scrolling through social media feeds,Utilizing Time for Knowledge Development,82,26
Reading a scientific research paper,Utilizing Time for Knowledge Development,97,15
Participating in an online quiz,Wasting Time,30,9
Playing a video game,Wasting Time,63,7
Participating in a group discussion on the course forum,Wasting Time,52,48
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,96,68
Playing online crossword puzzles,Utilizing Time for Knowledge Development,84,29
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,72,98
Reading a scientific research paper,Utilizing Time for Knowledge Development,35,27
Playing online crossword puzzles,Wasting Time,10,70
Reviewing course lecture slides,Utilizing Time for Knowledge Development,15,7
Reviewing course lecture slides,Wasting Time,115,1
Participating in a group discussion on the course forum,Wasting Time,40,33
Watching Khan Academy math tutorial,Wasting Time,82,39
Coding a personal project,Utilizing Time for Knowledge Development,82,55
Taking notes from a lecture video,Utilizing Time for Knowledge Development,107,98
Participating in a group discussion on the course forum,Wasting Time,52,8
Participating in a group discussion on the course forum,Wasting Time,116,74
Participating in a group discussion on the course forum,Wasting Time,113,19
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,22,64
Taking notes from a lecture video,Utilizing Time for Knowledge Development,63,54
Reviewing course lecture slides,Utilizing Time for Knowledge Development,119,84
Listening to an audiobook on a relevant topic,Wasting Time,67,28
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,119,57
Solving programming exercises,Utilizing Time for Knowledge Development,12,24
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,66,35
Listening to an audiobook on a relevant topic,Wasting Time,93,69
Scrolling through social media feeds,Utilizing Time for Knowledge Development,60,71
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,41,33
Browsing Wikipedia for history facts,Wasting Time,67,89
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,70,68
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,35,22
Taking notes from a lecture video,Utilizing Time for Knowledge Development,91,75
Online shopping,Wasting Time,78,83
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,44,59
Scrolling through social media feeds,Utilizing Time for Knowledge Development,19,100
Playing a video game,Utilizing Time for Knowledge Development,58,46
Solving programming exercises,Wasting Time,89,61
Chatting with friends on messaging apps,Wasting Time,78,36
Writing an essay for a class assignment,Wasting Time,79,97
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,59,12
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,66,69
Reviewing course lecture slides,Utilizing Time for Knowledge Development,105,85
Playing online crossword puzzles,Utilizing Time for Knowledge Development,59,39
Reviewing course lecture slides,Wasting Time,43,80
Reading a scientific research paper,Wasting Time,91,80
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,70,27
Scrolling through social media feeds,Utilizing Time for Knowledge Development,62,1
Reading a scientific research paper,Wasting Time,20,5
Playing online crossword puzzles,Utilizing Time for Knowledge Development,12,92
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,31,34
Coding a personal project,Utilizing Time for Knowledge Development,74,55
Coding a personal project,Wasting Time,108,83
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,23,41
Playing a video game,Wasting Time,9,99
Watching Khan Academy math tutorial,Wasting Time,93,84
Participating in a group discussion on the course forum,Wasting Time,52,56
Scrolling through social media feeds,Utilizing Time for Knowledge Development,108,88
Browsing Wikipedia for history facts,Wasting Time,94,28
Checking email,Utilizing Time for Knowledge Development,44,22
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,75,76
Coding a personal project,Wasting Time,35,42
Taking notes from a lecture video,Utilizing Time for Knowledge Development,76,56
Reading a scientific research paper,Utilizing Time for Knowledge Development,81,59
Participating in an online quiz,Wasting Time,71,81
Reading a scientific research paper,Utilizing Time for Knowledge Development,63,3
Chatting with friends on messaging apps,Wasting Time,87,23
Coding a personal project,Utilizing Time for Knowledge Development,97,83
Listening to an audiobook on a relevant topic,Wasting Time,65,37
Solving programming exercises,Utilizing Time for Knowledge Development,94,23
Watching TV shows,Utilizing Time for Knowledge Development,52,93
Coding a personal project,Utilizing Time for Knowledge Development,109,30
Playing a video game,Utilizing Time for Knowledge Development,59,79
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,111,68
Reading a scientific research paper,Utilizing Time for Knowledge Development,6,18
Reviewing course lecture slides,Utilizing Time for Knowledge Development,46,6
Participating in an online quiz,Utilizing Time for Knowledge Development,90,24
Solving programming exercises,Utilizing Time for Knowledge Development,88,80
Watching TV shows,Utilizing Time for Knowledge Development,89,7
Playing online crossword puzzles,Utilizing Time for Knowledge Development,40,58
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,30,82
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,56,31
Solving programming exercises,Utilizing Time for Knowledge Development,77,99
Participating in an online quiz,Utilizing Time for Knowledge Development,52,75
Participating in an online quiz,Utilizing Time for Knowledge Development,87,23
Solving programming exercises,Utilizing Time for Knowledge Development,10,8
Online shopping,Utilizing Time for Knowledge Development,43,33
Watching TV shows,Utilizing Time for Knowledge Development,98,73
Watching TV shows,Utilizing Time for Knowledge Development,56,9
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,117,100
Coding a personal project,Utilizing Time for Knowledge Development,72,92
Participating in an online quiz,Utilizing Time for Knowledge Development,72,3
Playing online crossword puzzles,Utilizing Time for Knowledge Development,94,27
Chatting with friends on messaging apps,Wasting Time,42,88
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,10,63
Checking email,Utilizing Time for Knowledge Development,22,44
Coding a personal project,Wasting Time,43,86
Coding a personal project,Wasting Time,70,37
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,96,61
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,113,70
Reviewing course lecture slides,Utilizing Time for Knowledge Development,97,2
Playing online crossword puzzles,Utilizing Time for Knowledge Development,88,60
Participating in an online quiz,Wasting Time,22,34
Participating in an online quiz,Utilizing Time for Knowledge Development,11,57
Browsing Wikipedia for history facts,Wasting Time,53,82
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,78,30
Reading a scientific research paper,Utilizing Time for Knowledge Development,59,78
Playing a video game,Utilizing Time for Knowledge Development,83,2
Online shopping,Utilizing Time for Knowledge Development,62,10
Listening to an audiobook on a relevant topic,Wasting Time,93,18
Taking notes from a lecture video,Utilizing Time for Knowledge Development,46,68
Participating in an online quiz,Wasting Time,100,16
Reading a scientific research paper,Utilizing Time for Knowledge Development,85,61
Scrolling through social media feeds,Utilizing Time for Knowledge Development,40,28
Taking notes from a lecture video,Utilizing Time for Knowledge Development,89,90
Solving programming exercises,Utilizing Time for Knowledge Development,26,41
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,52,19
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,114,88
Reading a scientific research paper,Utilizing Time for Knowledge Development,12,26
Playing a video game,Utilizing Time for Knowledge Development,31,48
Playing a video game,Utilizing Time for Knowledge Development,57,17
Online shopping,Utilizing Time for Knowledge Development,20,96
Reading a scientific research paper,Utilizing Time for Knowledge Development,13,97
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,108,5
Writing an essay for a class assignment,Wasting Time,18,87
Scrolling through social media feeds,Wasting Time,14,59
Reading a scientific research paper,Wasting Time,58,90
Reviewing course lecture slides,Utilizing Time for Knowledge Development,28,84
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,95,90
Chatting with friends on messaging apps,Wasting Time,75,85
Watching TV shows,Utilizing Time for Knowledge Development,67,93
Solving programming exercises,Utilizing Time for Knowledge Development,113,51
Coding a personal project,Utilizing Time for Knowledge Development,113,32
Coding a personal project,Wasting Time,32,87
Taking notes from a lecture video,Utilizing Time for Knowledge Development,45,65
Watching TV shows,Utilizing Time for Knowledge Development,21,86
Online shopping,Utilizing Time for Knowledge Development,112,74
Reviewing course lecture slides,Utilizing Time for Knowledge Development,76,82
Watching TV shows,Utilizing Time for Knowledge Development,10,66
Coding a personal project,Wasting Time,90,43
Solving programming exercises,Utilizing Time for Knowledge Development,50,91
Online shopping,Utilizing Time for Knowledge Development,110,91
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,92,85
Taking notes from a lecture video,Utilizing Time for Knowledge Development,68,68
Taking notes from a lecture video,Utilizing Time for Knowledge Development,117,90
Coding a personal project,Utilizing Time for Knowledge Development,32,6
Writing an essay for a class assignment,Wasting Time,17,22
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,80,52
Taking notes from a lecture video,Utilizing Time for Knowledge Development,89,57
Reviewing course lecture slides,Utilizing Time for Knowledge Development,104,79
Checking email,Utilizing Time for Knowledge Development,59,27
Coding a personal project,Wasting Time,69,76
Checking email,Utilizing Time for Knowledge Development,70,64
Participating in a group discussion on the course forum,Wasting Time,69,34
Participating in a group discussion on the course forum,Wasting Time,37,67
Checking email,Utilizing Time for Knowledge Development,87,69
Reading a scientific research paper,Utilizing Time for Knowledge Development,30,75
Playing a video game,Wasting Time,99,96
Playing a video game,Utilizing Time for Knowledge Development,90,7
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,83,71
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,101,26
Scrolling through social media feeds,Wasting Time,73,33
Reviewing course lecture slides,Utilizing Time for Knowledge Development,91,19
Listening to an audiobook on a relevant topic,Wasting Time,112,64
Solving programming exercises,Utilizing Time for Knowledge Development,53,2
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,114,67
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,95,95
Participating in an online quiz,Utilizing Time for Knowledge Development,105,62
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,24,25
Reading a scientific research paper,Utilizing Time for Knowledge Development,44,11
Participating in an online quiz,Utilizing Time for Knowledge Development,63,75
Scrolling through social media feeds,Utilizing Time for Knowledge Development,70,33
Taking notes from a lecture video,Wasting Time,66,9
Solving programming exercises,Utilizing Time for Knowledge Development,50,84
Watching TV shows,Utilizing Time for Knowledge Development,101,5
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,72,67
Taking notes from a lecture video,Utilizing Time for Knowledge Development,120,80
Playing online crossword puzzles,Utilizing Time for Knowledge Development,9,31
Watching TV shows,Wasting Time,112,29
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,20,13
Participating in an online quiz,Utilizing Time for Knowledge Development,94,30
Online shopping,Utilizing Time for Knowledge Development,25,29
Checking email,Utilizing Time for Knowledge Development,119,38
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,20,5
Checking email,Wasting Time,93,8
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,73,28
Solving programming exercises,Utilizing Time for Knowledge Development,58,39
Playing a video game,Utilizing Time for Knowledge Development,42,2
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,71,46
Playing online crossword puzzles,Utilizing Time for Knowledge Development,82,62
Playing online crossword puzzles,Utilizing Time for Knowledge Development,24,58
Listening to an audiobook on a relevant topic,Wasting Time,104,69
Participating in a group discussion on the course forum,Wasting Time,18,81
Scrolling through social media feeds,Utilizing Time for Knowledge Development,25,75
Reviewing course lecture slides,Utilizing Time for Knowledge Development,102,2
Reading a scientific research paper,Utilizing Time for Knowledge Development,75,81
Reviewing course lecture slides,Wasting Time,87,15
Participating in an online quiz,Utilizing Time for Knowledge Development,49,72
Participating in an online quiz,Utilizing Time for Knowledge Development,96,4
Reviewing course lecture slides,Utilizing Time for Knowledge Development,23,81
Checking email,Wasting Time,61,33
Playing online crossword puzzles,Utilizing Time for Knowledge Development,56,63
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,30,91
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,8,66
Scrolling through social media feeds,Utilizing Time for Knowledge Development,62,65
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,82,75
Solving programming exercises,Utilizing Time for Knowledge Development,86,76
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,117,84
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,74,59
Playing a video game,Utilizing Time for Knowledge Development,119,53
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,54,76
Checking email,Utilizing Time for Knowledge Development,58,38
Checking email,Wasting Time,65,51
Watching TV shows,Utilizing Time for Knowledge Development,81,75
Solving programming exercises,Wasting Time,48,30
Coding a personal project,Wasting Time,106,73
Reading a scientific research paper,Utilizing Time for Knowledge Development,108,22
Taking notes from a lecture video,Wasting Time,25,51
Coding a personal project,Utilizing Time for Knowledge Development,106,49
Participating in an online quiz,Wasting Time,118,92
Solving programming exercises,Utilizing Time for Knowledge Development,77,14
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,79,12
Scrolling through social media feeds,Utilizing Time for Knowledge Development,40,16
Coding a personal project,Utilizing Time for Knowledge Development,19,73
Browsing Wikipedia for history facts,Wasting Time,46,59
Writing an essay for a class assignment,Wasting Time,49,8
Writing an essay for a class assignment,Wasting Time,8,41
Online shopping,Utilizing Time for Knowledge Development,102,30
Playing a video game,Wasting Time,60,43
Online shopping,Wasting Time,44,58
Participating in an online quiz,Utilizing Time for Knowledge Development,91,60
Reading a scientific research paper,Wasting Time,75,87
Coding a personal project,Utilizing Time for Knowledge Development,35,18
Playing online crossword puzzles,Utilizing Time for Knowledge Development,56,86
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,116,63
Reviewing course lecture slides,Utilizing Time for Knowledge Development,15,36
Listening to an audiobook on a relevant topic,Wasting Time,70,45
Reviewing course lecture slides,Wasting Time,43,37
Reading a scientific research paper,Utilizing Time for Knowledge Development,67,5
Watching TV shows,Utilizing Time for Knowledge Development,90,50
Coding a personal project,Wasting Time,36,43
Writing an essay for a class assignment,Wasting Time,111,87
Playing online crossword puzzles,Utilizing Time for Knowledge Development,102,96
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,18,4
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,93,34
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,115,67
Reading a scientific research paper,Utilizing Time for Knowledge Development,67,36
Reading a scientific research paper,Wasting Time,75,22
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,115,45
Online shopping,Utilizing Time for Knowledge Development,38,45
Reading a scientific research paper,Wasting Time,65,86
Checking email,Utilizing Time for Knowledge Development,95,70
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,56,87
Reading a scientific research paper,Utilizing Time for Knowledge Development,36,60
Solving programming exercises,Utilizing Time for Knowledge Development,50,19
Watching TV shows,Utilizing Time for Knowledge Development,55,76
Playing online crossword puzzles,Utilizing Time for Knowledge Development,34,15
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,5,35
Taking notes from a lecture video,Utilizing Time for Knowledge Development,119,32
Taking notes from a lecture video,Utilizing Time for Knowledge Development,51,20
Chatting with friends on messaging apps,Wasting Time,8,45
Playing online crossword puzzles,Utilizing Time for Knowledge Development,41,73
Online shopping,Utilizing Time for Knowledge Development,35,90
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,8,5
Reviewing course lecture slides,Wasting Time,25,43
Online shopping,Utilizing Time for Knowledge Development,45,19
Watching cat videos on YouTube,Wasting Time,23,41
Checking email,Utilizing Time for Knowledge Development,39,16
Watching TV shows,Utilizing Time for Knowledge Development,83,41
Reviewing course lecture slides,Utilizing Time for Knowledge Development,85,91
Playing online crossword puzzles,Wasting Time,115,27
Listening to an audiobook on a relevant topic,Wasting Time,100,84
Writing an essay for a class assignment,Wasting Time,57,2
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,49,41
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,50,84
Taking notes from a lecture video,Wasting Time,103,9
Online shopping,Utilizing Time for Knowledge Development,104,81
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,25,31
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,63,66
Reading a scientific research paper,Utilizing Time for Knowledge Development,96,54
Reading a scientific research paper,Utilizing Time for Knowledge Development,24,84
Watching cat videos on YouTube,Wasting Time,103,12
Participating in an online quiz,Utilizing Time for Knowledge Development,102,4
Playing a video game,Utilizing Time for Knowledge Development,9,26
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,21,21
Playing a video game,Utilizing Time for Knowledge Development,114,37
Coding a personal project,Utilizing Time for Knowledge Development,97,76
Checking email,Utilizing Time for Knowledge Development,62,26
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,114,49
Coding a personal project,Wasting Time,69,27
Watching cat videos on YouTube,Wasting Time,27,36
Coding a personal project,Wasting Time,102,21
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,96,4
Browsing Wikipedia for history facts,Wasting Time,88,52
Checking email,Utilizing Time for Knowledge Development,34,56
Browsing Wikipedia for history facts,Wasting Time,25,90
Online shopping,Wasting Time,58,67
Reviewing course lecture slides,Utilizing Time for Knowledge Development,88,56
Scrolling through social media feeds,Utilizing Time for Knowledge Development,9,44
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,9,66
Browsing Wikipedia for history facts,Wasting Time,87,96
